City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kruisfontein,-34.0033,24.7314,17.71,90,6,5.67,ZA,1708476426
83,nishinoomote,30.7333,131.0,22.31,88,40,5.66,JP,1708476426
84,puerto natales,-51.7236,-72.4875,11.25,66,0,6.17,CL,1708476427
85,hamilton,39.1834,-84.5333,9.43,49,0,1.79,US,1708476278
86,lagoa,39.05,-27.9833,16.05,84,100,8.95,PT,1708476427
87,ribeira grande,38.5167,-28.7,17.1,87,99,6.71,PT,1708476427
88,balkanabat,39.5108,54.3671,2.39,56,73,0.78,TM,1708476427
89,bagamoyo,-6.4333,38.9,26.49,89,71,2.56,TZ,1708476427
90,ifs,49.14,-0.349,9.73,87,100,2.57,FR,1708476428
91,kone,-21.0595,164.8658,32.17,57,50,2.32,NC,1708476428
92,stanley,54.868,-1.6985,5.4,83,20,2.06,GB,1708476188
93,ola,59.5833,151.2833,-21.59,71,100,5.65,RU,1708476428
94,ushuaia,-54.8,-68.3,8.81,66,0,8.75,AR,1708476428
95,kongolo,-5.3833,27.0,22.02,94,100,1.48,CD,1708476429
96,solwezi,-12.1688,26.3894,16.49,90,25,1.59,ZM,1708476429
97,reftinskiy,57.0901,61.6769,-20.34,89,100,2.75,RU,1708476429
98,west island,-12.1568,96.8225,27.99,78,100,1.54,CC,1708476429
99,colonia,50.9333,6.95,9.98,74,100,2.06,DE,1708476429
100,jayapura,-2.5333,140.7,27.66,91,100,1.34,ID,1708476243
101,yangjiang,21.85,111.9667,22.52,93,98,3.48,CN,1708476429
102,labytnangi,66.6572,66.4183,-7.17,86,100,9.14,RU,1708476430
103,moranbah,-22.0016,148.0466,30.06,49,100,4.14,AU,1708476430
104,avarua,-21.2078,-159.775,26.03,100,75,6.17,CK,1708476430
105,cornetu,44.3417,25.9408,6.71,83,93,1.43,RO,1708476430
106,carnarvon,-24.8667,113.6333,28.85,54,100,10.82,AU,1708476430
107,santa cruz,-17.8,-63.1667,25.7,83,100,3.6,BO,1708476430
108,bethel,41.3712,-73.414,-1.83,51,3,0.63,US,1708476156
109,la foa,-21.7108,165.8276,27.83,75,94,2.63,NC,1708476430
110,isafjordur,66.0755,-23.124,-4.41,91,100,2.9,IS,1708476431
111,donaldsonville,30.101,-90.9929,17.97,59,0,0.0,US,1708476431
112,messini,37.0511,22.0078,11.77,93,40,3.09,GR,1708476431
113,wollert,-37.5833,145.0333,30.88,45,0,10.8,AU,1708476431
114,bouar,5.934,15.596,22.61,55,96,0.55,CF,1708476431
115,tofol,5.3248,163.0078,28.88,79,75,6.17,FM,1708476431
116,miyako,39.6367,141.9525,1.99,80,100,1.48,JP,1708476432
117,yeppoon,-23.1333,150.7333,30.88,62,100,3.68,AU,1708476432
118,sendafa,9.15,39.0333,13.64,94,25,1.02,ET,1708476432
119,minas de marcona,-15.2119,-75.1103,19.74,83,98,2.05,PE,1708476432
120,saipan,15.1355,145.701,27.39,69,75,8.75,MP,1708476432
121,al jawf,29.5,38.75,10.46,49,0,3.25,SA,1708476432
122,diego de almagro,-26.3667,-70.05,18.87,61,99,1.81,CL,1708476432
123,ancud,-41.8697,-73.8203,14.38,95,51,2.77,CL,1708476433
124,macas,-2.3167,-78.1167,21.96,97,100,1.11,EC,1708476433
125,la passe,45.5549,-0.8967,6.66,85,100,3.2,FR,1708476433
126,salinopolis,-0.6136,-47.3561,25.94,79,100,3.65,BR,1708476281
127,punta arenas,-53.15,-70.9167,11.06,58,20,4.63,CL,1708476433
128,puerto ayora,-0.7393,-90.3518,26.97,95,100,2.44,EC,1708476433
129,rumoi,43.9344,141.6428,-4.76,69,100,8.16,JP,1708476434
130,mount isa,-20.7333,139.5,30.87,58,100,2.06,AU,1708476434
131,miandrivazo,-19.5167,45.4667,25.16,85,100,0.57,MG,1708476434
132,lincroft,40.3307,-74.121,1.88,61,3,1.54,US,1708476434
133,altai,46.3722,96.2583,-26.68,93,100,1.7,MN,1708476434
134,enewetak,11.3474,162.3373,25.77,81,100,11.31,MH,1708476435
135,magadan,59.5667,150.8,-21.93,67,100,3.6,RU,1708476435
136,touros,-5.1989,-35.4608,26.45,84,44,4.26,BR,1708476435
137,severo-yeniseyskiy,60.3725,93.0408,-29.12,100,100,2.24,RU,1708476435
138,river falls,44.8614,-92.6238,4.62,74,100,2.63,US,1708476435
